Fecha,Date,Day Week,Day Month,Week of Month,Week of Year,Week of Year ISO,Week ID ISO,Month of Year,Month name,Quarter No,Quarter,Year,Year-Month,Year-Week,Year-Month ISO,Year-Week ISO,Year_ISO
2014-01-01,01-01-2014,03,01,01,01,01,01,01,January,01,Q01,2014,201401,201401,201401,201401,2014
2014-01-02,01-02-2014,04,02,01,01,01,01,01,January,01,Q01,2014,201401,201401,201401,201401,2014
2014-01-03,01-03-2014,05,03,01,01,01,01,01,January,01,Q01,2014,201401,201401,201401,201401,2014
2014-01-04,01-04-2014,06,04,01,01,01,01,01,January,01,Q01,2014,201401,201401,201401,201401,2014
2014-01-05,01-05-2014,07,05,01,02,01,01,01,January,01,Q01,2014,201401,201402,201401,201401,2014
2014-01-06,01-06-2014,01,06,01,02,02,01,01,January,01,Q01,2014,201401,201402,201401,201402,2014
2014-01-07,01-07-2014,02,07,01,02,02,01,01,January,01,Q01,2014,201401,201402,201401,201402,2014
2014-01-08,01-08-2014,03,08,02,02,02,02,01,January,01,Q01,2014,201401,201402,201401,201402,2014
2014-01-09,01-09-2014,04,09,02,02,02,02,01,January,01,Q01,2014,201401,201402,201401,201402,2014
2014-01-10,01-10-2014,05,10,02,02,02,02,01,January,01,Q01,2014,201401,201402,201401,201402,2014
2014-01-11,01-11-2014,06,11,02,02,02,02,01,January,01,Q01,2014,201401,201402,201401,201402,2014
2014-01-12,01-12-2014,07,12,02,03,02,02,01,January,01,Q01,2014,201401,201403,201401,201402,2014
2014-01-13,01-13-2014,01,13,02,03,03,02,01,January,01,Q01,2014,201401,201403,201401,201403,2014
2014-01-14,01-14-2014,02,14,02,03,03,02,01,January,01,Q01,2014,201401,201403,201401,201403,2014
2014-01-15,01-15-2014,03,15,03,03,03,03,01,January,01,Q01,2014,201401,201403,201401,201403,2014
2014-01-16,01-16-2014,04,16,03,03,03,03,01,January,01,Q01,2014,201401,201403,201401,201403,2014
2014-01-17,01-17-2014,05,17,03,03,03,03,01,January,01,Q01,2014,201401,201403,201401,201403,2014
2014-01-18,01-18-2014,06,18,03,03,03,03,01,January,01,Q01,2014,201401,201403,201401,201403,2014
2014-01-19,01-19-2014,07,19,03,04,03,03,01,January,01,Q01,2014,201401,201404,201401,201403,2014
2014-01-20,01-20-2014,01,20,03,04,04,03,01,January,01,Q01,2014,201401,201404,201401,201404,2014
2014-01-21,01-21-2014,02,21,03,04,04,03,01,January,01,Q01,2014,201401,201404,201401,201404,2014
2014-01-22,01-22-2014,03,22,04,04,04,04,01,January,01,Q01,2014,201401,201404,201401,201404,2014
2014-01-23,01-23-2014,04,23,04,04,04,04,01,January,01,Q01,2014,201401,201404,201401,201404,2014
2014-01-24,01-24-2014,05,24,04,04,04,04,01,January,01,Q01,2014,201401,201404,201401,201404,2014
2014-01-25,01-25-2014,06,25,04,04,04,04,01,January,01,Q01,2014,201401,201404,201401,201404,2014
2014-01-26,01-26-2014,07,26,04,05,04,04,01,January,01,Q01,2014,201401,201405,201401,201404,2014
2014-01-27,01-27-2014,01,27,04,05,05,04,01,January,01,Q01,2014,201401,201405,201401,201405,2014
2014-01-28,01-28-2014,02,28,04,05,05,04,01,January,01,Q01,2014,201401,201405,201401,201405,2014
2014-01-29,01-29-2014,03,29,05,05,05,05,01,January,01,Q01,2014,201401,201405,201401,201405,2014
2014-01-30,01-30-2014,04,30,05,05,05,05,01,January,01,Q01,2014,201401,201405,201401,201405,2014
2014-01-31,01-31-2014,05,31,05,05,05,05,01,January,01,Q01,2014,201401,201405,201401,201405,2014
2014-02-01,02-01-2014,06,01,01,05,05,05,02,February,01,Q01,2014,201402,201405,201402,201405,2014
2014-02-02,02-02-2014,07,02,01,06,05,05,02,February,01,Q01,2014,201402,201406,201402,201405,2014
2014-02-03,02-03-2014,01,03,01,06,06,05,02,February,01,Q01,2014,201402,201406,201402,201406,2014
2014-02-04,02-04-2014,02,04,01,06,06,05,02,February,01,Q01,2014,201402,201406,201402,201406,2014
2014-02-05,02-05-2014,03,05,01,06,06,06,02,February,01,Q01,2014,201402,201406,201402,201406,2014
2014-02-06,02-06-2014,04,06,01,06,06,06,02,February,01,Q01,2014,201402,201406,201402,201406,2014
2014-02-07,02-07-2014,05,07,01,06,06,06,02,February,01,Q01,2014,201402,201406,201402,201406,2014
2014-02-08,02-08-2014,06,08,02,06,06,06,02,February,01,Q01,2014,201402,201406,201402,201406,2014
2014-02-09,02-09-2014,07,09,02,07,06,06,02,February,01,Q01,2014,201402,201407,201402,201406,2014
2014-02-10,02-10-2014,01,10,02,07,07,06,02,February,01,Q01,2014,201402,201407,201402,201407,2014
